"total_floor_area","co2_emissions_current","co2_emissions_potential","number_habitable_rooms","average_income","london_zone","num_tube_lines","longitude","num_rail_lines","distance_to_station","population","energy_consumption_current","energy_consumption_potential","num_light_rail_lines","altitude","latitude","id","asking_price","predicted_price","profit","buy"
84,5.3,1.8,4,54600,6,1,0.243151,0,0.5070624,39,373,119,1,16,51.561893,9101,83000,437003.811548941,4.26510616324025,1
69,2.1,1,3,50600,1,3,-0.174807,0,0.1572142,24,177,81,0,15,51.496389,5977,192000,935581.867409175,3.87282222608946,1
65,3.1,1.8,3,47800,4,2,-0.303088,1,0.3343132,96,271,160,1,41,51.551003,15713,84000,316513.981277285,2.76802358663435,1
63,1.2,1.2,3,62600,2,0,-0.046553,0,0.5176262,91,108,108,1,14,51.511732,7296,112000,381460.253054136,2.40589511655479,1
49,0.9,0.9,2,58200,2,0,-0.195393,1,0.5760378,18,107,107,0,9,51.458085,8684,131000,392736.847437769,1.99799120181503,1
69,3.2,2.3,3,47600,3,0,-0.16215,1,0.521976,80,276,200,0,22,51.411283,12485,123000,358305.32680645,1.91305143745081,1
69,1.3,1.3,3,54700,3,0,-0.035951,1,0.3628976,50,101,101,0,7,51.569596,11008,130000,371047.425337415,1.85421096413396,1
75,2,1.9,3,45700,3,0,-0.164901,1,0.5729308,129,157,145,0,22,51.408376,3128,117000,319553.46840848,1.7312262257135,1
145,8.6,6.6,4,54400,3,0,-0.053984,0,1.0619726,28,337,256,1,122,51.346956,5843,240000,640245.530667133,1.66768971111305,1
156,8.4,3.6,5,43800,5,1,-0.392908,0,1.2452856,60,306,131,0,29,51.48513,9878,271000,698910.509387398,1.57900556969519,1
58,2.8,1.2,2,46200,2,0,-0.032838,0,0.9140794,23,253,110,1,17,51.536359,8866,152000,391186.176989615,1.57359326966852,1
68,5,5,3,62700,3,0,-0.189655,1,0.1727492,67,413,413,0,11,51.444229,11283,188000,482810.57557308,1.56814135943128,1
54,3.1,2.3,3,43200,6,0,0.117601,1,0.6692478,83,339,254,0,46,51.397416,10237,98000,249712.546265483,1.54808720679064,1
58,1.6,1.3,3,51800,2,0,-0.046966,0,0.298272,58,147,116,1,8,51.49129,10024,140000,356196.292737087,1.54425923383633,1
101,1.7,1.7,4,44400,2,0,-0.055584,0,0.1037738,85,91,91,1,17,51.5335,5770,218000,502046.443491505,1.302965337117,1
68,2.4,2.4,4,37700,3,0,-0.08225,0,0.7214454,195,201,201,1,22,51.609117,11034,152000,347259.079778586,1.28459920906964,1
114,5.7,2.9,6,59500,2,2,-0.221455,0,0.8519394,91,283,143,0,6,51.484156,656,503000,1133768.83608657,1.25401359062936,1
49,4.3,2.6,2,52600,4,0,-0.041808,1,0.758108,37,519,309,0,33,51.424712,10123,1e+05,222268.786954496,1.22268786954496,1
103.26,6.2,3.9,5,62800,3,0,-0.060522,0,1.5988622,67,361,225,1,155,51.347541,12412,228000,501912.614593807,1.2013711166395,1
150,7.9,3.5,7,73000,2,0,-0.165845,1,0.4126096,187,297,132,1,15,51.460972,10952,585000,1275892.44096108,1.18101271959159,1
125,6.2,5,3,67300,2,0,-0.186478,0,0.285844,73,279,229,1,76,51.553672,1003,601000,1286486.51262203,1.14057656010322,1
92,4.2,1.1,5,56700,4,0,-0.079309,1,0.857532,51,261,68,1,25,51.631586,10704,264000,556828.146873556,1.1091975260362,1
173,8.3,4.9,9,44600,5,0,-0.417919,1,1.239693,54,248,147,0,42,51.520674,5725,348000,732532.336588044,1.10497797870128,1
97,15,2.2,5,60700,3,1,-0.165412,0,0.3436342,62,867,127,0,29,51.435417,13133,390000,812036.389228878,1.08214458776635,1
126,4.6,2.4,5,51500,5,1,-0.388676,0,1.2011662,98,208,106,0,32,51.486295,4848,261000,542069.224512909,1.07689358050923,1
145,6.5,3.9,5,54300,4,0,-0.149116,1,0.397696,53,236,139,0,60,51.618022,14673,382000,790545.787454106,1.06949159019399,1
141,5.8,3.4,6,66900,6,0,0.066249,1,1.2316148,14,211,123,0,94,51.374385,15439,325000,666461.803195327,1.05065170213947,1
146,6.1,2.9,5,45400,4,0,-0.383184,1,0.4281446,28,236,110,0,33,51.503133,11374,309000,633500.730645812,1.05016417684729,1
47,1.2,1.1,2,51000,3,0,-0.117822,1,0.4020458,94,150,129,0,40,51.603155,8567,137000,277629.864475908,1.02649536113802,1
50,1.6,1.5,3,54900,5,1,-0.160242,0,0.7730216,42,187,170,0,84,51.656496,13940,152000,306570.016274968,1.016908001809,1
36,1.6,0.9,2,61700,5,1,-0.116577,0,1.031524,23,251,143,0,66,51.645786,4085,128000,255306.823244398,0.994584556596861,1
203,13,4.9,9,64800,3,0,-0.312551,1,0.3889964,69,375,136,0,34,51.514333,10578,773000,1503139.28844273,0.944552766420093,1
67,3.8,2.2,3,52600,6,0,0.213661,0,0.6437704,99,339,193,1,30,51.576723,10994,161000,311609.183468122,0.935460766882748,1
102,4,1.7,6,56600,5,1,-0.405085,1,0.4244162,101,220,90,0,34,51.553844,1688,280000,533433.036926135,0.905117989021911,1
134,7.7,3.4,6,48700,3,0,-0.01201,1,0.6636552,104,327,142,0,22,51.446449,10305,312000,594185.936162317,0.90444210308435,1
52,2.8,2,2,55200,5,0,-0.201617,1,0.382161,58,305,221,0,47,51.364478,15829,117000,222694.231880992,0.903369503256345,1
46,1.4,1.3,2,51400,3,0,-0.100871,0,0.3865108,25,177,161,1,53,51.370855,13865,117000,221341.1307414,0.891804536251283,1
193.65,9.5,9,8,61900,2,1,-0.121064,1,0.6064864,65,292,276,0,27,51.457304,12206,897000,1690218.84128086,0.884301941227268,1
202,11,5.2,7,54700,2,1,-0.225437,0,0.7096388,99,311,144,0,64,51.545646,15078,935000,1713694.89515696,0.832828764873753,1
81,2.7,1.5,3,54900,2,2,-0.120544,0,0.1932554,99,177,97,0,10,51.473122,1432,329000,602546.296822039,0.831447710705285,1
67.1,2.6,2,3,61900,1,1,-0.137748,0,0.2460744,114,204,152,0,13,51.490878,8570,431000,784792.505014108,0.820864280775192,1
44,4.6,2.5,2,55700,3,0,-0.05382,0,0.304486,50,599,324,1,47,51.411126,6990,140000,253941.712737614,0.813869376697243,1
86,3.9,1.7,5,51900,2,0,-0.202632,0,0.2150044,104,253,115,1,48,51.544919,7795,377000,680433.97046379,0.804864643140027,1
96,2.9,3,4,54100,2,0,-0.152944,1,0.3280992,181,181,185,0,8,51.474491,4554,399000,716305.432265802,0.795251709939352,1
53,2.4,1.2,3,45700,3,0,-0.164461,1,0.5741736,49,253,132,0,23,51.406436,1265,170000,302637.407666001,0.780220045094123,1
64,3.5,1.1,3,61900,2,0,-0.114565,1,0.8556678,53,309,102,0,26,51.453998,9090,267000,473556.375071074,0.773619382288666,1
156,6,2.9,4,72600,1,1,-0.161171,0,0.3299634,27,220,107,0,19,51.499532,11078,1740000,3033326.11775738,0.743290872274356,1
97,4.6,4.4,4,50600,2,1,-0.216048,0,0.5617456,64,267,257,0,62,51.54739,14168,484000,841894.193029639,0.73945081204471,1
43,1.9,1.2,2,73500,1,6,-0.151356,0,0.5350254,18,252,165,0,31,51.520895,3193,325000,559734.315477804,0.722259432239397,1
78,4.5,2.8,4,48700,3,0,-0.011653,1,0.7369804,60,348,216,0,21,51.445391,7802,231000,394178.46540124,0.706400283122252,1
36,2.5,0.9,2,51500,4,0,-0.108996,1,0.4455438,29,405,145,0,46,51.397515,6682,127000,216553.766950382,0.705147771262847,1
66,2.6,1.5,3,54700,3,0,-0.029392,1,0.7692932,115,221,128,0,10,51.573422,13339,228000,387444.466207376,0.699317834242877,1
99,6,1.3,4,50400,4,0,0.0929,1,1.1645036,68,317,65,0,8,51.55179,15804,231000,392258.022534566,0.698086677638812,1
54,1.6,1,2,54500,2,1,-0.155661,0,0.2373748,47,172,104,0,39,51.543129,9661,302000,511694.78454361,0.694353591204007,1
119,5.4,3.4,4,50600,5,2,-0.322487,1,0.8277048,58,260,159,1,54,51.597905,244,322000,544798.894258574,0.691922031858925,1
55,2.6,1.5,2,50800,3,1,-0.124961,0,0.2063048,89,271,155,0,42,51.610373,1734,206000,347862.630366021,0.688653545466121,1
95,5.2,3.6,5,62800,3,1,-0.284802,0,0.2634736,64,309,216,0,36,51.518174,14870,458000,766971.930554356,0.674611202083746,1
70,2.3,1.3,4,54300,1,0,-0.080972,0,0.329342,50,184,108,1,23,51.531158,9334,378000,629311.354086736,0.664844852081313,1
79,4.2,1.9,4,38100,4,0,-0.051342,1,0.6344494,116,274,122,1,14,51.624419,6453,217000,359856.014733127,0.658322648539758,1
168,8.4,3.4,5,57400,5,0,-0.364809,1,0.226811,72,284,114,0,22,51.462179,2517,517000,854608.311898824,0.653014142937765,1
148,3.6,2,5,53000,1,1,-0.128725,0,0.3939676,59,140,79,0,14,51.494179,6147,1e+06,1625620.49272959,0.625620492729588,1
192,9.4,2.9,6,47300,2,2,-0.21284,0,0.2690662,99,278,84,0,25,51.520688,200,1230000,1991956.04909478,0.619476462678684,1
154,3.3,2.4,6,50500,6,0,0.081101,1,1.391936,73,123,86,0,96,51.360974,1739,416000,672452.18723441,0.616471603928871,1
39,1.7,1.2,1,56500,2,2,-0.187589,0,0.1000454,254,252,169,0,29,51.519176,8632,259000,417332.269017252,0.611321501997113,1
53,3.4,2.4,4,46600,4,0,0.118189,1,0.9140794,86,378,272,0,18,51.574825,3081,179000,288143.15370028,0.609738288828381,1
111,3.9,1.8,4,58700,3,1,-0.214317,0,1.4503476,94,199,89,0,59,51.595634,9885,494000,794455.349831404,0.608209210185029,1
208,4.5,2.7,8,68200,3,0,-0.261604,1,0.363519,109,122,72,0,10,51.466863,8729,1005000,1616077.52335906,0.608037336675685,1
139,6.2,3.8,6,45100,3,0,-0.023818,1,0.2106546,60,252,152,0,22,51.434284,2129,373000,598940.975254635,0.605739880039237,1
46,1.4,1.3,2,56600,1,1,-0.098875,0,0.360412,34,169,159,0,9,51.50217,11397,259000,415688.053834416,0.604973180827859,1
101,3.4,2,4,62700,3,0,-0.182226,1,0.3585478,83,175,102,0,13,51.4395,4403,450000,721963.73895004,0.604363864333423,1
72,2.7,1.5,3,73500,1,6,-0.154557,0,0.4977414,8,212,119,0,32,51.519776,1444,877000,1401811.77479743,0.598417075025575,1
105,2.6,1,5,56000,2,0,-0.070822,0,0.3399058,44,132,48,1,19,51.545155,15656,580000,914475.511844439,0.576681916973171,1
141,5.5,4.1,5,65800,3,1,-0.143073,0,0.9967256,107,223,165,0,98,51.59027,695,745000,1174330.95654465,0.576283163147179,1
99,4.9,2.1,4,54000,2,0,-0.104236,1,0.276523,52,279,121,0,23,51.456304,5473,493000,770679.301835988,0.563244019951294,1
